id,condition,title,buying_mode,price,original_price,sale_amount,sale_type,available_quantity,accepts_mercadopago,use_thumbnail_id,health,Seller_City,Seller_state
MLB4846818376,new,2 Kits Cadarço Silicone Elástico 12pçs Tênis Fitness Corrida Cor Colorido,buy_it_now,12.55,,12.55,standard,1,True,True,,Praia Grande,São Paulo
MLB5176345232,new,Kit 2 Testeiras Nke Faixa De Cabeça Tiara Em Microfibra Lisa,buy_it_now,29.9,,29.9,standard,500,True,True,1.0,Juiz de Fora,Minas Gerais
MLB3456110897,new,Kit 3 Tênis Masculino Prospect Speed Academia Leve + Relógio,buy_it_now,138.53,219.9,138.53,promotion,5000,True,True,0.81,Franca,São Paulo
MLB3111699197,new,Faixa De Cabelo Headband Elástica Snugg Proteção Uv50,buy_it_now,21.91,24.9,21.91,promotion,1,True,True,0.85,São Paulo Zona Leste,São Paulo
MLB5033229314,new,Tênis Fila Masculino Adr Urbano Original Confortável,buy_it_now,241.9,346.99,241.9,promotion,100,True,True,0.88,São João da Boa Vista,São Paulo
MLB3636111249,new,Short Duplo Forro Futebol Beach Volei Tenis Praia Corrida,buy_it_now,45.07,93.9,45.07,promotion,1,True,True,0.71,Osasco,São Paulo
MLB3905389839,new,Tênis Fila Float Maxxi 2 Pro Color Esmeralda - Adulto 38 Br,buy_it_now,683.99,899.99,683.99,promotion,1,True,True,,Santo André,São Paulo
MLB4602851734,new,Tênis Vili All Journey Color Branco/uva - Adulto 34 Br,buy_it_now,105.31,,105.31,standard,1,True,True,,Pará de Minas,Minas Gerais
MLB3277268101,new,Tênis Ortopédico Masculino Feminino Asc Original Calce Fácil,buy_it_now,99.42,,99.42,standard,50,True,True,1.0,Franca,São Paulo
MLB3855193929,new,Tênis Masculino Preto Para Caminhada De Academia Esportivo,buy_it_now,65.99,109.99,65.99,promotion,150,True,True,0.66,Pará de Minas,Minas Gerais
MLB3801121949,new,Kit 2 Pares Tênis Masculino Para Academia Esportivo +relógio,buy_it_now,135.9,,135.9,standard,5000,True,True,0.9,Franca,São Paulo
MLB3821148855,new,Tênis Mizuno Wave Mirai 6 Color Preto - Adulto 40 Br,buy_it_now,412.86,529.32,412.86,promotion,1,True,True,,Avaré,São Paulo
MLB3000769898,new,Saia Short Fitness Moda Evangelica Cintura Alta Premium,buy_it_now,70.91,78.79,70.91,promotion,1,True,True,0.87,São José dos Campos,São Paulo
MLB5046547802,new,Tênis Masculino Lacoste L-spin Deluxe,buy_it_now,899.0,,899.0,standard,1,True,True,0.81,Extrema,Minas Gerais
MLB3377731767,new,Tênis Esportivo It Shoes Amortecedor Gel Masculino,buy_it_now,101.94,169.9,101.94,promotion,500,True,True,0.88,Nova Serrana,Minas Gerais
MLB5039353878,new,Tênis Under Armour Charged Wing Se Color Preto/branco - Adulto 39 Br,buy_it_now,207.99,399.99,207.99,promotion,1,True,True,,Penápolis,São Paulo
MLB5064736842,new,Tênis De Corrida Feminino Under Armour Ch. Quicker  Original,buy_it_now,292.43,449.9,292.43,promotion,1,True,True,1.0,,
MLB2169368641,new,Camiseta Dry Fit Baby Look Feminina 100% Poliamida,buy_it_now,36.9,,36.9,standard,150,True,True,0.71,Londrina,Paraná
MLB3519145412,new,Tenis Unissex Olympikus Eros Casual Social Urbano - Original,buy_it_now,169.9,326.23,169.9,promotion,1,True,True,0.8,Embu das Artes,São Paulo
MLB4757947174,new,Kit 2 Faixas Headband Anti Suor Cabelo Testa Esporte Corrida,buy_it_now,14.44,28.89,14.44,promotion,1,True,True,0.85,Contagem,Minas Gerais
MLB5144891372,new,Munhequeira Ziper Pulseira Com Bolso Corrida Porta Chave,buy_it_now,26.34,,26.34,standard,1,True,True,0.85,Florianópolis,Santa Catarina
MLB4580183696,new,Tênis Esportivo Ascension Conforto Masculino E Feminino,buy_it_now,63.9,78.9,63.9,promotion,150,True,True,0.88,Franca,São Paulo
MLB2919294110,new,Tenis Feminino Casual Nyc Shoes Masculino Moda Adulto,buy_it_now,69.9,89.9,69.9,promotion,500,True,True,0.77,,Minas Gerais
MLB3106886681,new,Kit 3 Pares Tênis Esportivo Masculino Evoltenn Style Corrida,buy_it_now,138.7,188.9,138.7,promotion,100,True,True,0.88,Franca,São Paulo
MLB3837997939,new,Tênis Fila Racer Speedzone Corrida Confortável - Original,buy_it_now,579.99,749.99,579.99,promotion,1,True,True,0.88,São João da Boa Vista,São Paulo
MLB3878031877,new,Tênis Asics Gel Revelation Academia Promoção Lançamento Leve,buy_it_now,99.99,333.33,99.99,promotion,50000,True,True,0.8,Nova Serrana,Minas Gerais
MLB4878377412,new,Tênis Esportivo Masculino Float Acer Cor Marinho/branco/vermelho Tamanho 42 Fila,buy_it_now,269.9,,269.9,standard,1,True,True,,Cianorte,Paraná
MLB3422508913,new,Tenis Masculino Esportivo Academia Confortavel Crossfit Leve,buy_it_now,82.9,,82.9,standard,50,True,True,0.77,Franca,São Paulo
MLB5107990538,new,Tênis adidas Duramo Speed Color Core Black/zero Metalic/aurora Black - Adulto 36 Br,buy_it_now,395.99,599.99,395.99,promotion,1,True,True,,Penápolis,São Paulo
MLB3660446325,new,Tênis Masculino Olympikus Rayo Caminhada Academia Original,buy_it_now,179.55,249.99,179.55,promotion,1,True,True,0.88,São Paulo Zona Oeste,São Paulo
MLB1473971415,new,Tênis Feminino Esportivo Byllbow Academia E Corrida,buy_it_now,69.21,76.9,69.21,promotion,500,True,True,0.77,,Minas Gerais
MLB2982178649,new,Kit 3 Faixas Headband Anti Suor Cabelo Testa Esporte Corrida,buy_it_now,28.79,47.98,28.79,promotion,1,True,True,0.85,Santos,São Paulo
MLB5033899508,new,Tênis Fila Adr Masculino Treino E Casual Lifestyle Original,buy_it_now,254.6,359.99,254.6,promotion,1,True,True,0.88,Santo André,São Paulo
MLB2978168735,new,Tenis  Masculino Promoção  Lançamento Original  Confortável.,buy_it_now,59.41,69.9,59.41,promotion,1,True,True,0.88,Perdigão,Minas Gerais
MLB3841453221,new,Tênis Olympikus Casual Mood Color Preto - Adulto 43 Br,buy_it_now,138.16,191.9,138.16,promotion,1,True,True,,Presidente Prudente,São Paulo
